researcher,speaker,trial,typicality,colour_en,object_en,trial_number
Sasha,JW_2,32,medium,green,tomato,1
Anya,JW_2,34,medium,yellow,peas,1
Margaux,JW_2,35,medium,red,apricot,1
Sasha,JW_2,41,typical,green,beans,2
Sasha,JW_2,43,typical,brown,walnut,2
Sasha,JW_2,46,atypical,brown,pepper,2
Margaux,JW_2,47,typical,red,strawberry,2
Anya,JW_2,51,typical,yellow,lemon,2
Sasha,JW_2,54,medium,brown,banana,2
Garik,JW_2,55,medium,orange,potatoes,2
Sasha,JW_2,57,atypical,green,carrots,2
Anya,JW_2,58,atypical,yellow,cherry,2
Garik,JW_2,60,atypical,orange,grapes,2
Margaux,JW_2,63,atypical,red,cucumber,2
Garik,JW_2,65,typical,orange,mandarine,2
Sasha,JW_2,67,medium,green,tomato,2
Anya,JW_2,69,medium,yellow,peas,2
Margaux,JW_2,70,medium,red,apricot,2
Garik,JW_3,2,typical,orange,mandarine,1
Sasha,JW_3,4,medium,green,tomato,1
Margaux,JW_3,5,typical,red,strawberry,1
Garik,JW_3,9,atypical,orange,grapes,1
Sasha,JW_3,11,atypical,green,carrots,1
Garik,JW_3,17,medium,orange,potatoes,1
Anya,JW_3,18,atypical,yellow,cherry,1
Anya,JW_3,20,typical,yellow,lemon,1
Garik,JW_3,22,typical,brown,walnut,1
Anya,JW_3,25,medium,yellow,peas,1
Garik,JW_3,26,atypical,brown,pepper,1
Margaux,JW_3,28,medium,red,apricot,1
Margaux,JW_3,31,atypical,red,cucumber,1
Garik,JW_3,34,medium,brown,banana,1
Sasha,JW_3,35,typical,green,beans,1
Garik,JW_3,37,typical,orange,mandarine,2
Sasha,JW_3,39,medium,green,tomato,2
Margaux,JW_3,40,typical,red,strawberry,2
Garik,JW_3,44,atypical,orange,grapes,2
Sasha,JW_3,46,atypical,green,carrots,2
Garik,JW_3,52,medium,orange,potatoes,2
Anya,JW_3,53,atypical,yellow,cherry,2
Anya,JW_3,55,typical,yellow,lemon,2
Garik,JW_3,57,typical,brown,walnut,2
Anya,JW_3,60,medium,yellow,peas,2
Garik,JW_3,61,atypical,brown,pepper,2
Margaux,JW_3,63,medium,red,apricot,2
Margaux,JW_3,66,atypical,red,cucumber,2
Garik,JW_3,69,medium,brown,banana,2
Sasha,JW_3,70,typical,green,beans,2
Margaux,KM,3,atypical,red,cucumber,1
Garik,KM,5,atypical,orange,grapes,1
Sasha,KM,8,medium,green,tomato,1
Margaux,KM,9,medium,red,apricot,1
Sasha,KM,11,atypical,green,carrots,1
Garik,KM,12,medium,orange,potatoes,1
Anya,KM,14,atypical,yellow,cherry,1
Garik,KM,17,medium,brown,banana,1
Garik,KM,21,atypical,brown,pepper,1
Garik,KM,23,typical,brown,walnut,1
Anya,KM,24,typical,yellow,lemon,1
Garik,KM,26,typical,orange,mandarine,1
Margaux,KM,29,typical,red,strawberry,1
Sasha,KM,32,typical,green,beans,1
Anya,KM,34,medium,yellow,peas,1
Margaux,KM,38,atypical,red,cucumber,2
Garik,KM,40,atypical,orange,grapes,2
Sasha,KM,43,medium,green,tomato,2
Margaux,KM,44,medium,red,apricot,2
Sasha,KM,46,atypical,green,carrots,2
Garik,KM,47,medium,orange,potatoes,2
Anya,KM,49,atypical,yellow,cherry,2
Garik,KM,52,medium,brown,banana,2
Garik,KM,56,atypical,brown,pepper,2
Garik,KM,58,typical,brown,walnut,2
Anya,KM,59,typical,yellow,lemon,2
Garik,KM,61,typical,orange,mandarine,2
Margaux,KM,64,typical,red,strawberry,2
Sasha,KM,67,typical,green,beans,2
Anya,KM,69,medium,yellow,peas,2
Anya,LG,2,typical,yellow,lemon,1
Anya,LG,3,medium,brown,banana,1
